"Tset","RHset","kWh_cool","kWh_heat","LM","PI","EMC","LIM","mould_margin","dp"
25,68,9532.6396,6758.5307,0.337,16.4966,12.4646,74.5048,6.5048,18.684
25.5,68,8731.5499,7586.5264,0.3149,15.5206,12.4439,74.4387,6.4387,19.1607
26,68,7953.3834,8468.512,0.2944,14.6053,12.4229,74.3801,6.3801,19.6373
26.5,68,7198.8761,9406.0104,0.2753,13.7467,12.4017,74.3287,6.3287,20.1139
27,68,6470.5156,10402.3158,0.2575,12.9412,12.3802,74.2844,6.2844,20.5905
27.5,68,5774.2165,11464.1686,0.2409,12.1854,12.3585,74.2471,6.2471,21.067
28,68,5110.7673,12593.203,0.2254,11.476,12.3365,74.2167,6.2167,21.5435
18,69,22918.6932,540.2974,0.8721,39.0325,12.959,76.3373,7.3373,12.2278
18.5,69,21801.2291,701.3356,0.8125,36.6144,12.942,76.1405,7.1405,12.7059
19,69,20697.0399,897.7887,0.7571,34.3536,12.9248,75.9555,6.9555,13.1839
19.5,69,19611.6165,1135.7224,0.7057,32.2394,12.9072,75.7817,6.7817,13.662
20,69,18547.6585,1418.4249,0.6579,30.2618,12.8894,75.6188,6.6188,14.14
20.5,69,17509.0086,1750.3415,0.6135,28.4117,12.8712,75.4662,6.4662,14.6179
21,69,16496.4872,2132.9098,0.5722,26.6805,12.8527,75.3236,6.3236,15.0958
21.5,69,15508.7097,2565.3766,0.5339,25.06,12.8339,75.1907,6.1907,15.5737
22,69,14543.367,3046.0797,0.4982,23.543,12.8148,75.0671,6.0671,16.0515
22.5,69,13604.6765,3579.8988,0.465,22.1225,12.7954,74.9524,5.9524,16.5293
23,69,12689.1655,4164.0392,0.4342,20.7921,12.7757,74.8465,5.8465,17.0071
23.5,69,11798.4363,4800.7976,0.4054,19.5457,12.7558,74.749,5.749,17.4848
24,69,10931.43,5489.8259,0.3787,18.3779,12.7355,74.6597,5.6597,17.9624
24.5,69,10087.4308,6231.1367,0.3538,17.2835,12.715,74.5784,5.5784,18.4401
25,69,9266.4034,7025.4402,0.3306,16.2575,12.6943,74.5048,5.5048,18.9176
25.5,69,8469.5154,7874.6678,0.309,15.2956,12.6732,74.4387,5.4387,19.3952
26,69,7695.9153,8778.7501,0.2889,14.3936,12.6519,74.3801,5.3801,19.8727
26.5,69,6946.2145,9739.0999,0.2702,13.5475,12.6303,74.3287,5.3287,20.3502
27,69,6226.1604,10762.2849,0.2527,12.7537,12.6085,74.2844,5.2844,20.8276
27.5,69,5537.6146,11851.0078,0.2364,12.0088,12.5864,74.2471,5.2471,21.305
28,69,4884.4094,13009.9621,0.2212,11.3097,12.5641,74.2167,5.2167,21.7823
18,70,22618.2927,580.2997,0.8559,38.4749,13.1999,76.3373,6.3373,12.4468
18.5,70,21499.3056,751.1231,0.7974,36.0913,13.1827,76.1405,6.1405,12.9258
19,70,20395.2609,959.3698,0.7431,33.8628,13.1651,75.9555,5.9555,13.4047
19.5,70,19310.611,1210.0765,0.6926,31.7788,13.1473,75.7817,5.7817,13.8835
20,70,18249.2304,1507.7162,0.6457,29.8295,13.1291,75.6188,5.6188,14.3623
20.5,70,17214.0826,1855.865,0.6021,28.0059,13.1106,75.4662,5.4662,14.8411
21,70,16204.681,2254.6637,0.5616,26.2993,13.0918,75.3236,5.3236,15.3198
21.5,70,15219.1432,2702.8721,0.524,24.702,13.0727,75.1907,5.1907,15.7985
22,70,14257.6633,3201.3421,0.489,23.2067,13.0533,75.0671,5.0671,16.2772
22.5,70,13322.1972,3752.703,0.4564,21.8065,13.0336,74.9524,4.9524,16.7558
23,70,12410.6534,4355.5529,0.4261,20.495,13.0136,74.8465,4.8465,17.2344
23.5,70,11524.1032,5011.6693,0.3979,19.2665,12.9934,74.749,4.749,17.7129
24,70,10660.5795,5719.8082,0.3717,18.1154,12.9728,74.6597,4.6597,18.1915
24.5,70,9820.2785,6480.9069,0.3472,17.0366,12.952,74.5784,4.5784,18.6699
25,70,9004.0124,7296.5359,0.3245,16.0253,12.9309,74.5048,4.5048,19.1483
25.5,70,8211.3243,8167.0153,0.3033,15.0771,12.9095,74.4387,4.4387,19.6267
26,70,7442.5256,9093.4525,0.2836,14.188,12.8878,74.3801,4.3801,20.1051
26.5,70,6698.9067,10077.9533,0.2652,13.3539,12.8659,74.3287,4.3287,20.5834
27,70,5986.7826,11127.6676,0.248,12.5715,12.8438,74.2844,4.2844,21.0617
27.5,70,5307.4118,12244.7099,0.232,11.8373,12.8214,74.2471,4.2471,21.5399
28,70,4665.3248,13434.4872,0.2171,11.1481,12.7987,74.2167,4.2167,22.0181
18,71,22319.8617,622.4121,0.8403,37.933,13.4483,76.3373,5.3373,12.6632
18.5,71,21199.7974,803.476,0.7828,35.583,13.4308,76.1405,5.1405,13.1429
19,71,20096.0483,1023.6774,0.7295,33.3859,13.4129,75.9555,4.9555,13.6226
19.5,71,19013.0507,1288.0466,0.6799,31.3312,13.3948,75.7817,4.7817,14.1023
20,71,17954.2266,1600.614,0.6339,29.4094,13.3763,75.6188,4.6188,14.5819
20.5,71,16922.5358,1964.9618,0.5911,27.6114,13.3575,75.4662,4.4662,15.0615
21,71,15916.2369,2379.9865,0.5514,25.9289,13.3384,75.3236,4.3236,15.5411
21.5,71,14933.1512,2844.1624,0.5144,24.3541,13.319,75.1907,4.1907,16.0206
22,71,13975.9705,3360.8499,0.48,22.8798,13.2993,75.0671,4.0671,16.5001
22.5,71,13043.7371,3929.7761,0.4481,21.4993,13.2793,74.9524,3.9524,16.9795
23,71,12136.0115,4551.2025,0.4183,20.2064,13.259,74.8465,3.8465,17.4589
23.5,71,11253.1457,5226.1996,0.3907,18.9951,13.2384,74.749,3.749,17.9383
24,71,10393.3798,5953.7427,0.3649,17.8602,13.2175,74.6597,3.6597,18.4176
24.5,71,9556.8445,6734.716,0.3409,16.7966,13.1964,74.5784,3.5784,18.8969
25,71,8745.3243,7571.6755,0.3186,15.7996,13.1749,74.5048,3.5048,19.3762
25.5,71,7957.2849,8463.8775,0.2978,14.8648,13.1532,74.4387,3.4387,19.8554
26,71,7193.5482,9412.9533,0.2784,13.9881,13.1313,74.3801,3.3801,20.3346
26.5,71,6456.6701,10422.2885,0.2603,13.1659,13.109,74.3287,3.3287,20.8137
27,71,5752.6983,11498.7805,0.2435,12.3944,13.0865,74.2844,3.2844,21.2928
27.5,71,5082.4545,12644.1217,0.2278,11.6705,13.0638,74.2471,3.2471,21.7719
28,71,4452.4678,13865.7334,0.2131,10.9911,13.0408,74.2167,3.2167,22.2509
18,72,22023.2618,666.4964,0.8252,37.4062,13.7046,76.3373,4.3373,12.8768
18.5,72,20902.5327,858.2225,0.7687,35.0888,13.6869,76.1405,4.1405,13.3574
19,72,19799.8045,1091.114,0.7163,32.9222,13.6688,75.9555,3.9555,13.8379
19.5,72,18718.7307,1369.4278,0.6677,30.8961,13.6503,75.7817,3.7817,14.3184
20,72,17662.8635,1697.3343,0.6225,29.0009,13.6316,75.6188,3.6188,14.7988
20.5,72,16634.2001,2077.4636,0.5805,27.2279,13.6125,75.4662,3.4662,15.2792
21,72,15631.0888,2508.8121,0.5414,25.5688,13.5931,75.3236,3.3236,15.7596
21.5,72,14650.769,2989.2828,0.5051,24.0159,13.5733,75.1907,3.1907,16.2399
22,72,13697.767,3524.0817,0.4714,22.5621,13.5533,75.0671,3.0671,16.7202
22.5,72,12768.7716,4110.5937,0.44,21.2007,13.533,74.9524,2.9524,17.2005
23,72,11865.037,4750.7858,0.4108,19.9257,13.5124,74.8465,2.8465,17.6807
23.5,72,10985.741,5444.5661,0.3836,18.7313,13.4915,74.749,2.749,18.1609
24,72,10130.0378,6191.8364,0.3583,17.6122,13.4703,74.6597,2.6597,18.641
24.5,72,9297.9417,6993.3774,0.3348,16.5633,13.4488,74.5784,2.5784,19.1211
25,72,8490.6222,7851.1429,0.3128,15.5801,13.427,74.5048,2.5048,19.6012
25.5,72,7707.1484,8765.0059,0.2924,14.6583,13.405,74.4387,2.4387,20.0813
26,72,6948.1892,9736.459,0.2734,13.7939,13.3827,74.3801,2.3801,20.5613
26.5,72,6219.5693,10772.1705,0.2556,12.983,13.3601,74.3287,2.3287,21.0412
27,72,5523.2814,11874.9978,0.2391,12.2223,13.3372,74.2844,2.2844,21.5212
27.5,72,4863.3255,13049.8265,0.2237,11.5084,13.3141,74.2471,2.2471,22.0011
28,72,4245.1536,14303.0166,0.2093,10.8385,13.2908,74.2167,2.2167,22.4809
18,73,21728.9673,713.0271,0.8105,36.8938,13.9696,76.3373,3.3373,13.0879
18.5,73,20607.7408,915.5922,0.7551,34.6081,13.9515,76.1405,3.1405,13.5692
19,73,19506.2379,1161.388,0.7036,32.4712,13.9331,75.9555,2.9555,14.0505
19.5,73,18427.2757,1453.8449,0.6558,30.4728,13.9144,75.7817,2.7817,14.5318
20,73,17374.8939,1797.6304,0.6114,28.6037,13.8953,75.6188,2.6188,15.013
20.5,73,16349.3513,2193.6466,0.5702,26.8549,13.8759,75.4662,2.4662,15.4942
21,73,15348.8023,2640.7061,0.5318,25.2185,13.8562,75.3236,2.3236,15.9754
21.5,73,14372.1061,3138.3429,0.4962,23.6869,13.8362,75.1907,2.1907,16.4566
22,73,13422.5258,3690.5106,0.463,22.253,13.8159,75.0671,2.0671,16.9377
22.5,73,12497.276,4295.1313,0.4322,20.9103,13.7952,74.9524,1.9524,17.4187
23,73,11597.8016,4954.3745,0.4035,19.6528,13.7743,74.8465,1.8465,17.8997
23.5,73,10722.1393,5667.0192,0.3768,18.4747,13.7531,74.749,1.749,18.3807
24,73,9870.2079,6433.7442,0.3519,17.3709,13.7315,74.6597,1.6597,18.8617
24.5,73,9042.7136,7256.0347,0.3288,16.3364,13.7097,74.5784,1.5784,19.3426
25,73,8239.552,8134.5839,0.3073,15.3667,13.6876,74.5048,1.5048,19.8235
25.5,73,7460.8531,9070.3393,0.2872,14.4575,13.6652,74.4387,1.4387,20.3044
26,73,6707.8665,10065.388,0.2685,13.6049,13.6426,74.3801,1.3801,20.7852
26.5,73,5987.131,11127.1268,0.2511,12.8052,13.6197,74.3287,1.3287,21.266
27,73,5299.9465,12257.7348,0.2348,12.0549,13.5965,74.2844,1.2844,21.7467
27.5,73,4651.0674,13462.8676,0.2197,11.3508,13.5731,74.2471,1.2471,22.2275
28,73,4043.6763,14746.6312,0.2056,10.69,13.5494,74.2167,1.2167,22.7081
18,74,21436.7749,761.8008,0.7963,36.3952,14.2436,76.3373,2.3373,13.2964
18.5,74,20315.9763,976.1396,0.7418,34.1404,14.2253,76.1405,2.1405,13.7785
19,74,19215.3692,1234.5203,0.6913,32.0324,14.2066,75.9555,1.9555,14.2606
19.5,74,18139.1559,1541.7681,0.6443,30.061,14.1876,75.7817,1.7817,14.7427
20,74,17090.4481,1901.6326,0.6007,28.2171,14.1682,75.6188,1.6188,15.2247
20.5,74,16067.9248,2313.4461,0.5602,26.492,14.1485,75.4662,1.4662,15.7067
21,74,15069.6174,2775.9089,0.5225,24.8777,14.1285,75.3236,1.3236,16.1887
21.5,74,14097.2337,3291.4142,0.4875,23.3668,14.1082,75.1907,1.1907,16.6706
22,74,13151.0003,3860.8903,0.4549,21.9523,14.0875,75.0671,1.0671,17.1525
22.5,74,12229.6461,4483.785,0.4246,20.6277,14.0666,74.9524,0.9524,17.6344
23,74,11333.8623,5161.526,0.3964,19.3872,14.0453,74.8465,0.8465,18.1162
23.5,74,10461.8686,5893.0872,0.3702,18.2251,14.0238,74.749,0.749,18.598
24,74,9613.6106,6679.1867,0.3458,17.1362,14.0019,74.6597,0.6597,19.0797
24.5,74,8791.0049,7522.533,0.323,16.1157,13.9798,74.5784,0.5784,19.5615
25,74,7992.3988,8422.2842,0.3019,15.1591,13.9574,74.5048,0.5048,20.0432
25.5,74,7218.7107,9380.1897,0.2822,14.2621,13.9346,74.4387,0.4387,20.5248
26,74,6472.4176,10399.5781,0.2638,13.421,13.9117,74.3801,0.3801,21.0065
26.5,74,5759.7014,11487.5035,0.2467,12.6321,13.8884,74.3287,0.3287,21.4881
27,74,5081.5151,12645.8132,0.2307,11.892,13.8649,74.2844,0.2844,21.9696
27.5,74,4444.5513,13882.1163,0.2158,11.1974,13.8411,74.2471,0.2471,22.4511
28,74,3848.9648,15197.5067,0.202,10.5455,13.817,74.2167,0.2167,22.9326
18,75,21146.9151,813.0482,0.7825,35.9099,14.5274,76.3373,1.3373,13.5025
18.5,75,20026.5614,1039.1871,0.729,33.6852,14.5088,76.1405,1.1405,13.9854
19,75,18927.8913,1311.2039,0.6793,31.6053,14.4898,75.9555,0.9555,14.4683
19.5,75,17854.4238,1633.2502,0.6332,29.6602,14.4705,75.7817,0.7817,14.9511
20,75,16808.9227,2008.7377,0.5903,27.8409,14.4509,75.6188,0.6188,15.4339
20.5,75,15789.6757,2436.6175,0.5505,26.1388,14.4309,75.4662,0.4662,15.9167
21,75,14794.0264,2914.9128,0.5135,24.546,14.4106,75.3236,0.3236,16.3994
21.5,75,13825.9506,3448.2956,0.479,23.0552,14.3899,75.1907,0.1907,16.8821
22,75,12882.8768,4034.9072,0.447,21.6596,14.369,75.0671,0.0671,17.3648
22.5,75,11965.461,4676.1342,0.4173,20.3527,14.3477,74.9524,-0.0476,17.8475
23,75,11073.2895,5372.3108,0.3896,19.1287,14.3262,74.8465,-0.1535,18.3301
23.5,75,10205.1721,6123.0134,0.3638,17.9821,14.3043,74.749,-0.251,18.8127
24,75,9361.3016,6929.22,0.3398,16.9077,14.2821,74.6597,-0.3403,19.2952
24.5,75,8542.95,7793.007,0.3175,15.9008,14.2596,74.5784,-0.4216,19.7777
25,75,7748.9508,8714.0322,0.2967,14.9569,14.2369,74.5048,-0.4952,20.2602
25.5,75,6980.0778,9693.914,0.2773,14.072,14.2138,74.4387,-0.5613,20.7427
26,75,6241.7508,10738.9379,0.2592,13.2421,14.1905,74.3801,-0.6199,21.2251
26.5,75,5536.6311,11852.6519,0.2424,12.4637,14.1669,74.3287,-0.6713,21.7075
27,75,4868.5939,13039.8406,0.2267,11.7334,14.143,74.2844,-0.7156,22.1899
27.5,75,4243.2731,14307.0694,0.2121,11.0481,14.1189,74.2471,-0.7529,22.6722
28,75,3659.8713,15654.496,0.1985,10.4049,14.0945,74.2167,-0.7833,23.1545
